,gender,gpa,wageb,wagea,lnbwage,lnawage,gradchoice,major,hheconstat,Pedu,Poccu
81,0,3.527,6565.9043,2500,8.7896452,7.8240461,0,0,1,2,2
82,0,3.486,4596.1333,7000,8.432971,8.8536654,1,0,0,3,1
83,1,3.477,5471.5869,22000,8.6073236,9.9987974,1,0,1,3,1
84,0,3.357,3830.1108,11000,8.2506495,9.3056507,0,0,1,1,2
85,0,3.505,6565.9043,9000,8.7896452,9.1049795,0,0,1,2,1
86,0,3.214,3282.9521,4000,8.0964985,8.2940493,0,0,0,1,3
87,0,3.722,8754.5391,10000,9.0773277,9.2103405,1,1,1,3,0
88,0,3.881,9848.8564,10000,9.1951103,9.2103405,1,0,1,3,2
89,1,2.843,5471.5869,5000,8.6073236,8.5171928,2,0,1,3,2
90,0,3.221,1860.3396,10000,7.5285144,9.2103405,0,0,0,1,0
91,0,3.366,4377.2695,7500,8.3841801,8.922658,0,0,0,1,0
92,0,2.854,7660.2217,10000,8.9437962,9.2103405,0,0,1,3,2
93,1,3.058,12037.491,11000,9.3957815,9.3056507,1,1,1,3,2
94,1,3.554,6565.9043,6000,8.7896452,8.6995144,1,1,0,1,0
95,0,3.586,3282.9521,8000,8.0964985,8.9871969,0,1,1,1,0
96,0,3.401,6565.9043,10000,8.7896452,9.2103405,0,1,0,2,3
97,1,2.439,5471.5869,10000,8.6073236,9.2103405,0,1,1,2,1
98,1,3.761,3830.1108,13000,8.2506495,9.4727049,1,1,0,2,3
99,1,2.338,5252.7236,20000,8.5665016,9.9034872,0,1,0,2,4
100,1,2.591,8754.5391,25000,9.0773277,10.126631,0,1,1,3,2
101,0,3.57,10943.174,25000,9.3004713,10.126631,0,1,1,3,1
102,1,2.805,5471.5869,8000,8.6073236,8.9871969,0,0,0,2,2
103,0,3.46,5471.5869,8000,8.6073236,8.9871969,1,0,0,2,0
104,0,3.57,3282.9521,10000,8.0964985,9.2103405,0,0,0,1,3
105,0,3.277,4377.2695,4000,8.3841801,8.2940493,0,0,1,3,2
106,0,3.528,5471.5869,7000,8.6073236,8.8536654,1,0,1,3,2
107,1,3.042,4377.2695,20000,8.3841801,9.9034872,0,0,1,3,0
108,0,2.321,2735.7935,7000,7.9141769,8.8536654,0,0,1,1,4
109,0,2.947,6018.7456,10000,8.7026339,9.2103405,0,0,0,1,3
110,0,2.645,5471.5869,15000,8.6073236,9.6158056,2,0,1,3,1
111,0,2.922,8377.0,7655,9.0332451,8.9431143,0,0,1,3,2
112,0,3.377,3830.1108,10000,8.2506495,9.2103405,0,0,0,1,4
113,1,2.597,3611.2476,3500,8.1918087,8.1605186,2,0,0,3,1
114,1,2.478,10943.174,20000,9.3004713,9.9034872,2,0,1,3,2
115,0,3.253,3282.9521,7000,8.0964985,8.8536654,0,0,1,2,2
116,0,2.729,8754.5391,10000,9.0773277,9.2103405,0,0,1,3,2
117,0,3.679,4924.4282,4500,8.5019636,8.4118328,0,1,1,3,2
118,1,2.735,3282.9521,7000,8.0964985,8.8536654,0,0,0,1,3
119,0,3.789,4377.2695,10000,8.3841801,9.2103405,0,0,0,2,0
120,0,3.163,3282.9521,4000,8.0964985,8.2940493,1,0,1,3,1
121,1,3.147,12037.491,26000,9.3957815,10.165852,1,0,0,1,4
122,1,3.066,10943.174,20000,9.3004713,9.9034872,0,0,0,3,2
123,1,3.575,4377.2695,13000,8.3841801,9.4727049,1,0,0,2,3
124,0,3.186,4377.2695,7000,8.3841801,8.8536654,0,0,0,3,1
125,0,3.431,5690.4507,8500,8.6465445,9.047821,0,0,0,2,0
126,0,3.845,9848.8564,12000,9.1951103,9.392662,1,0,0,1,4
127,0,2.665,3830.1108,13000,8.2506495,9.4727049,2,0,1,3,1
128,0,3.619,5471.5869,8000,8.6073236,8.9871969,1,0,1,3,2
